Report Week,date,dstu2,stu3,total
2015/40,9/27/15,76,0,76
2015/41,10/4/15,95,0,95
2015/42,10/11/15,1,0,1
2015/43,10/18/15,2,0,2
2015/44,10/25/15,0,0,0
2015/45,11/1/15,3,0,3
2015/46,11/8/15,8,0,8
2015/47,11/15/15,0,0,0
2015/48,11/22/15,4,0,4
2015/49,11/29/15,2,0,2
2015/50,12/6/15,5,0,5
2015/51,12/13/15,4,0,4
2015/52,12/20/15,3,0,3
2015/53,12/27/15,0,0,0
2016/1,1/3/16,0,0,0
2016/2,1/10/16,101,0,101
2016/3,1/17/16,49,0,49
2016/4,1/24/16,47,0,47
2016/5,1/31/16,45,0,45
2016/6,2/7/16,13,0,13
2016/7,2/14/16,57,0,57
2016/8,2/21/16,13,0,13
2016/9,2/28/16,17,0,17
2016/10,3/6/16,21,0,21
2016/11,3/13/16,83,0,83
2016/12,3/20/16,123,0,123
2016/13,3/27/16,23,3,26
2016/14,4/3/16,1,15,16
2016/15,4/10/16,0,2,2
2016/16,4/17/16,0,11,11
2016/17,4/24/16,0,19,19
2016/18,5/1/16,0,36,36
2016/19,5/8/16,2,137,139
2016/20,5/15/16,0,166,166
2016/21,5/22/16,0,8,8
2016/22,5/29/16,0,21,21
2016/23,6/5/16,0,17,17
2016/24,6/12/16,1,13,14
2016/25,6/19/16,2,4,6
2016/26,6/26/16,46,0,46
2016/27,7/3/16,34,7,41
2016/28,7/10/16,50,2,52
2016/29,7/17/16,30,0,30
2016/30,7/24/16,29,22,51
2016/31,7/31/16,0,5,5
2016/32,8/7/16,0,5,5
2016/33,8/14/16,0,29,29
2016/34,8/21/16,6,7,13
2016/35,8/28/16,19,7,26
2016/36,9/4/16,3,25,28
2016/37,9/11/16,2,21,23
2016/38,9/18/16,2,197,199
2016/39,9/25/16,6,56,62
2016/40,10/2/16,11,109,120
2016/41,10/9/16,1,49,50
2016/42,10/16/16,14,12,26
2016/43,10/23/16,0,60,60
2016/44,10/30/16,0,50,50
2016/45,11/6/16,0,30,30
2016/46,11/13/16,11,29,40
2016/47,11/20/16,88,36,124
2016/48,11/27/16,16,10,26
2016/49,12/4/16,11,49,60
2016/50,12/11/16,20,16,36
2016/51,12/18/16,1,126,127
2016/52,12/25/16,9,85,94
2016/53,1/1/17,37,84,121
2017/1,1/8/17,4,217,221
2017/2,1/15/17,9,344,353
2017/3,1/22/17,8,75,83
2017/4,1/29/17,1,5,6
2017/5,2/5/17,0,6,6
2017/6,2/12/17,0,15,15
2017/7,2/19/17,1,39,40
2017/8,2/26/17,0,41,41
2017/9,3/5/17,18,82,100
2017/10,3/12/17,0,39,39
2017/11,3/19/17,2,33,35
2017/12,3/26/17,5,133,138
2017/13,4/2/17,1,84,85
2017/14,4/9/17,0,15,15
2017/15,4/16/17,0,15,15
2017/16,4/23/17,3,32,35
2017/17,4/30/17,12,196,208
2017/18,5/7/17,0,130,130
2017/19,5/14/17,2,44,46
2017/20,5/21/17,0,26,26
2017/21,5/28/17,0,49,49
2017/22,6/4/17,4,61,65
2017/23,6/11/17,0,179,179
2017/24,6/18/17,1,170,171
2017/25,6/25/17,0,626,626
2017/26,7/2/17,0,113,113
2017/27,7/9/17,2,127,129
2017/28,7/16/17,0,45,45
2017/29,7/23/17,0,87,87
2017/30,7/30/17,1,28,29
2017/31,8/6/17,3,75,78
2017/32,8/13/17,0,5,5
2017/33,8/20/17,0,40,40
2017/34,8/27/17,0,80,80
2017/35,9/3/17,1,49,50