,ï»¿Week Index,Sessions,date
0,0.0,22,2016-12-01
1,1.0,102,2016-12-08
2,2.0,82,2016-12-15
3,3.0,81,2016-12-22
4,4.0,99,2016-12-29
5,5.0,118,2017-01-05
6,6.0,119,2017-01-12
7,7.0,144,2017-01-19
8,8.0,143,2017-01-26
9,9.0,90,2017-02-02
10,10.0,73,2017-02-09
11,11.0,121,2017-02-16
12,12.0,86,2017-02-23
13,13.0,118,2017-03-02
14,14.0,127,2017-03-09
15,15.0,145,2017-03-16
16,16.0,118,2017-03-23
17,17.0,88,2017-03-30
18,18.0,214,2017-04-06
19,19.0,101,2017-04-13
20,20.0,95,2017-04-20
21,21.0,104,2017-04-27
22,22.0,127,2017-05-04
23,23.0,117,2017-05-11
24,24.0,79,2017-05-18
25,25.0,91,2017-05-25
26,26.0,55,2017-06-01
